=== INIT START ===
Setting up audio interface...
Audio interface spawned!
adc read: 0
adc read: 0
adc read: 16
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 7
adc read: 0
adc read: 22
adc read: 2
adc read: 0
adc read: 3
adc read: 0
adc read: 1
adc read: 4

adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 1
adc read: 0
adc read: 0
adc read: 0

adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 8
adc read: 0
adc read: 16
adc read: 0
adc read: 1
adc read: 0
adc read: 11
adc read: 14
adc read: 0
adc read: 0
adc read: 0
adc read: 11
adc read: 3
adc read: 0
adc read: 18
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 19

adc read: 0
adc read: 2
adc read: 1
adc read: 3
adc read: 7
adc read: 3
adc read: 34
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 10
adc read: 5
adc read: 2
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 1
adc read: 1
adc read: 16
adc read: 0
adc read: 5
adc read: 17
adc read: 0
adc read: 0
adc read: 8
adc read: 3
adc read: 2
adc read: 5

adc read: 0
adc read: 0
adc read: 5
adc read: 10
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 9
adc read: 1
adc read: 7
adc read: 0
adc read: 0
adc read: 3
adc read: 2
adc read: 9
adc read: 16
adc read: 0
adc read: 0
adc read: 10
adc read: 0
adc read: 7
adc read: 5
adc read: 12
adc read: 0
adc read: 12
adc read: 0
adc read: 17
adc read: 0
adc read: 0
adc read: 12
adc read: 0
adc read: 4
adc read: 1
adc read: 0
adc read: 4
adc read: 11

adc read: 0
adc read: 0
adc read: 0
adc read: 2
adc read: 0
adc read: 2
adc read: 0
adc read: 9
adc read: 1
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 3
adc read: 14
adc read: 5
adc read: 1
adc read: 0
adc read: 0
adc read: 0
adc read: 5
adc read: 0

adc read: 0
adc read: 0
adc read: 6
adc read: 0
adc read: 13
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0

adc read: 4
adc read: 0
adc read: 0
adc read: 0
adc read: 13
adc read: 9
adc read: 8
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 9
adc read: 21
adc read: 0
adc read: 0
adc read: 0
adc read: 16
adc read: 21
adc read: 13
adc read: 0
adc read: 5
adc read: 3
adc read: 8
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 12
adc read: 0

adc read: 0
adc read: 0
adc read: 5
adc read: 8
adc read: 10
adc read: 0
adc read: 10
adc read: 0
adc read: 0
adc read: 0
adc read: 15
adc read: 1
adc read: 1
adc read: 13
adc read: 12
adc read: 0
adc read: 4
adc read: 0
adc read: 7
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 1
adc read: 4
adc read: 7
adc read: 5
adc read: 0
adc read: 2
adc read: 0
adc read: 0
adc read: 21

adc read: 0
adc read: 7
adc read: 10
adc read: 16
adc read: 4
adc read: 18
adc read: 0
adc read: 6
adc read: 9
adc read: 9
adc read: 5
adc read: 0
adc read: 0
adc read: 0
adc read: 21
adc read: 0
adc read: 5
adc read: 1
adc read: 0
adc read: 4
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 2
adc read: 0
adc read: 8
adc read: 0
adc read: 0
adc read: 3
adc read: 0
adc read: 13
adc read: 0
adc read: 0
adc read: 0
adc read: 11
adc read: 5

adc read: 0
adc read: 2
adc read: 0
adc read: 7
adc read: 20
adc read: 0
adc read: 0
adc read: 5
adc read: 6
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 8
adc read: 4
adc read: 0
adc read: 5

adc read: 10
adc read: 0
adc read: 12
adc read: 0
adc read: 0
adc read: 0
adc read: 11
adc read: 0
adc read: 8
adc read: 13
adc read: 1
adc read: 0
adc read: 0
adc read: 2
adc read: 0
adc read: 0
adc read: 8
adc read: 14
adc read: 0
adc read: 0
adc read: 0

adc read: 0
adc read: 0
adc read: 11
adc read: 15
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 4
adc read: 0
adc read: 0
adc read: 0
adc read: 5
adc read: 0
adc read: 0
adc read: 0
adc read: 16
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 11
adc read: 1
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0

adc read: 1
adc read: 0
adc read: 0
adc read: 20
adc read: 10
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 7
adc read: 0
adc read: 2
adc read: 0
adc read: 5
adc read: 0
adc read: 5
adc read: 0
adc read: 3
adc read: 0
adc read: 0
adc read: 9
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 20
adc read: 0
adc read: 0
adc read: 0
adc read: 21
adc read: 0
adc read: 0
adc read: 0

adc read: 0
adc read: 4
adc read: 6
adc read: 0
adc read: 0
adc read: 0
adc read: 6
adc read: 3
adc read: 0
adc read: 1
adc read: 0
adc read: 3
adc read: 0
adc read: 0
adc read: 15
adc read: 0
adc read: 0
adc read: 0
adc read: 2
adc read: 0
adc read: 0
adc read: 8
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 5
adc read: 3
adc read: 10
adc read: 2
adc read: 0
adc read: 0
adc read: 2
adc read: 3
adc read: 0
adc read: 5

adc read: 9
adc read: 4
adc read: 0
adc read: 3
adc read: 0
adc read: 0

adc read: 15
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 24
adc read: 0
adc read: 0
adc read: 0
adc read: 3
adc read: 0
adc read: 0

adc read: 0
adc read: 0
adc read: 7
adc read: 0
adc read: 10
adc read: 0
adc read: 0
adc read: 4
adc read: 11
adc read: 4
adc read: 0
adc read: 8
adc read: 6
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 4
adc read: 0
adc read: 0
adc read: 0
adc read: 1
adc read: 0
adc read: 0
adc read: 2
adc read: 8
adc read: 17
adc read: 9

adc read: 0
adc read: 20
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 9
adc read: 22
adc read: 0
adc read: 4
adc read: 21
adc read: 0
adc read: 5
adc read: 22
adc read: 1
adc read: 7
adc read: 0
adc read: 0
adc read: 3
adc read: 0
adc read: 21
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 3
adc read: 0
adc read: 0
adc read: 0
adc read: 0
adc read: 1
adc read: 0
adc read: 10

